"NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"Joel Embiid","Phi","C","30.1","39","33.6","39.6","15","452","0.883","712","0.556","139","0.388","0.561","0.644","34.7","11","5.6","1.2","1.7","3.8","45.7","40.3","51.3","15.3","124","104.8"
"Luka Doncic","Dal","G","25.1","70","37.5","36","14.6","608","0.786","908","0.573","744","0.382","0.573","0.617","33.9","9.2","9.8","1.4","0.5","4","43.1","43.7","52.9","15.5","121.9","109.9"
"Giannis Antetokounmpo","Mil","F","29.4","73","35.2","33","15.4","782","0.657","1246","0.644","124","0.274","0.623","0.648","30.4","11.5","6.5","1.2","1.1","3.4","42","37","48.5","14.9","125.6","106.9"
"Shai Gilgeous-Alexander","Okc","G","25.8","75","34","32.9","9.8","649","0.874","1218","0.576","269","0.353","0.567","0.636","30.1","5.5","6.2","2","0.9","2.2","35.6","36.3","41.8","11.9","128.6","107.7"
"Jalen Brunson","Nyk","G","27.6","77","35.4","32.5","10.1","497","0.847","1122","0.516","526","0.401","0.543","0.592","28.7","3.6","6.7","0.9","0.2","2.4","32.3","35.5","39.1","10","124.2","112.6"
"Kevin Durant","Pho","F","35.5","75","37.2","29","14.5","423","0.856","1029","0.567","407","0.413","0.581","0.626","27.1","6.6","5","0.9","1.2","3.3","33.7","32.1","38.7","10.4","117.8","112.8"
"Devin Booker","Pho","G","27.5","68","36","29.8","12","457","0.886","887","0.552","418","0.364","0.55","0.611","27.1","4.5","6.9","0.9","0.4","2.6","31.6","34","38.5","10.5","123.9","110.6"
"Jayson Tatum","Bos","F","26.1","74","35.7","30.2","11.6","497","0.833","817","0.542","609","0.376","0.552","0.604","26.9","8.1","4.9","1","0.6","2.5","35","31.8","39.9","11.5","120.6","107.6"
"De'Aaron Fox","Sac","G","26.3","74","35.9","31","11.1","423","0.738","969","0.522","580","0.369","0.534","0.567","26.6","4.6","5.6","2","0.4","2.6","31.2","32.2","36.8","9.8","113.5","110.3"
"Donovan Mitchell","Cle","G","27.6","55","35.3","31.3","12.4","317","0.868","595","0.539","494","0.368","0.545","0.595","26.6","5.1","6.1","1.8","0.5","2.8","31.7","32.7","37.7","10.6","116.9","109.1"
"Stephen Curry","Gol","G","36.1","74","32.7","31.3","12.7","324","0.923","569","0.515","876","0.408","0.573","0.616","26.4","4.5","5.1","0.7","0.4","2.8","30.9","31.6","36","10.4","118.9","114.9"
"Nikola Jokic","Den","C","29.2","79","34.6","29.3","14.4","438","0.817","1180","0.626","231","0.359","0.612","0.65","26.4","12.4","9","1.4","0.9","3","38.8","35.4","47.7","16.6","130.7","104.8"
"Anthony Edwards","Min","G","22.7","79","35.1","32.3","13.4","506","0.836","1026","0.515","532","0.357","0.522","0.575","25.9","5.4","5.1","1.3","0.5","3.1","31.4","31.1","36.5","10.2","112.1","107.3"
"Tyrese Maxey","Phi","G","23.4","70","37.5","28","7.6","378","0.868","850","0.501","569","0.373","0.524","0.573","25.9","3.7","6.2","1","0.5","1.7","29.6","32.1","35.8","9","120.9","113.9"
"LeBron James","Lal","F","39.3","71","35.3","29.1","16.1","404","0.75","906","0.592","363","0.41","0.599","0.63","25.7","7.3","8.3","1.3","0.5","3.4","33","34","41.3","13.1","119.7","113.4"
"Trae Young","Atl","G","25.6","54","36","30.5","18.9","407","0.855","539","0.479","469","0.373","0.516","0.585","25.7","2.8","10.8","1.3","0.2","4.4","28.5","36.5","39.3","10.2","117.4","118.3"
"Kyrie Irving","Dal","G","32.1","58","35","28.1","8.6","210","0.905","710","0.548","421","0.411","0.573","0.608","25.6","5","5.2","1.3","0.5","1.8","30.6","30.8","35.8","10","122","113.1"
"Ja Morant","Mem","G","24.7","9","35.3","30.4","13.7","64","0.813","119","0.555","51","0.275","0.512","0.57","25.1","5.6","8.1","0.8","0.6","3","30.7","33.2","38.8","11.8","116.1","112.9"
"Anthony Davis","Lal","C","31.1","76","35.5","26.7","11","516","0.816","1176","0.582","107","0.271","0.567","0.621","24.7","12.6","3.5","1.2","2.3","2.1","37.3","28.2","40.8","11.6","124","107.6"
"Damian Lillard","Mil","G","33.8","73","35.3","28.4","13.1","514","0.92","655","0.49","622","0.354","0.51","0.59","24.3","4.4","7","1","0.2","2.6","28.7","31.3","35.7","10.3","120","114.3"
"DeMar DeRozan","Chi","F","34.7","79","37.8","25.8","9.1","612","0.853","1130","0.509","225","0.333","0.507","0.584","24","4.3","5.3","1.1","0.6","1.7","28.3","29.3","33.6","8.7","122.6","115.5"
"Julius Randle","Nyk","F","29.4","46","35.4","29.9","16","302","0.781","592","0.539","244","0.311","0.518","0.569","24","9.2","5","0.5","0.3","3.5","33.2","28.9","38.1","11.7","112.8","107.2"
"LaMelo Ball","Cha","G","22.6","22","32.3","34.3","16.4","104","0.865","226","0.5","197","0.355","0.515","0.561","23.9","5.1","8","1.8","0.2","3.8","29","31.9","37","12.3","110.4","110"
"Kawhi Leonard","Lac","F","32.8","68","34.3","26.5","9.3","286","0.885","826","0.569","336","0.417","0.585","0.626","23.7","6.1","3.6","1.6","0.9","1.8","29.8","27.3","33.4","9.4","124.4","113.5"
"Desmond Bane","Mem","G","25.8","42","34.4","28.5","12.6","161","0.87","416","0.536","360","0.381","0.552","0.589","23.7","4.4","5.5","1","0.5","2.7","28.1","29.2","33.6","9.7","114.3","110.8"
"Terry Rozier","Cha","G","30.1","30","35.5","27.8","10.6","129","0.845","317","0.533","232","0.358","0.535","0.574","23.2","3.9","6.6","1.1","0.4","2.2","27.1","29.8","33.7","9.5","116.2","119.5"
"Lauri Markkanen","Uta","F","26.9","55","33.1","25","8","277","0.899","451","0.559","439","0.399","0.578","0.631","23.2","8.2","2","0.9","0.5","1.4","31.4","25.2","33.4","8.8","127.5","116.9"
"Jaylen Brown","Bos","F","27.5","70","33.5","28.9","11.7","300","0.703","846","0.57","410","0.354","0.557","0.58","23","5.5","3.6","1.2","0.5","2.4","28.5","26.6","32.1","9.2","113.4","106.7"
"Zion Williamson","Nor","F","23.8","70","31.5","29.7","15","494","0.702","1076","0.574","18","0.333","0.573","0.61","22.9","5.8","5","1.1","0.7","2.8","28.7","27.9","33.7","11.1","118.8","108.8"
"Cade Cunningham","Det","G","22.6","62","33.5","30.8","15.4","274","0.869","832","0.487","335","0.355","0.5","0.546","22.7","4.3","7.5","0.9","0.4","3.4","27","30.1","34.5","10.8","108.3","115.2"
"Paul George","Lac","G","34","74","33.8","26.6","11","291","0.907","648","0.523","588","0.413","0.569","0.613","22.6","5.2","3.5","1.5","0.5","2.1","27.8","26.1","31.4","8.8","118.7","109.4"
"Anfernee Simons","Por","G","24.9","46","34.4","28","13.1","178","0.916","432","0.472","405","0.385","0.523","0.568","22.6","3.6","5.5","0.5","0.1","2.7","26.2","28.1","31.8","8.9","113.4","117.3"
"Paolo Banchero","Orl","F","21.4","80","35","29.7","14.9","559","0.725","1056","0.493","351","0.339","0.497","0.546","22.6","6.9","5.4","0.9","0.6","3.1","29.5","27.9","34.9","10.8","108.9","108.6"
"Dejounte Murray","Atl","G","27.6","78","35.7","26.6","12.1","262","0.794","909","0.518","554","0.363","0.528","0.555","22.5","5.3","6.4","1.4","0.3","2.6","27.8","28.9","34.2","10.2","113.8","117.2"
"Jaren Jackson Jr.","Mem","F","24.6","66","32.2","30.4","12.1","417","0.808","795","0.502","366","0.32","0.495","0.553","22.5","5.5","2.3","1.2","1.6","2.4","28","24.8","30.4","8.2","106.8","106.3"
"Cam Thomas","Bro","G","22.5","66","31.4","30.5","9.4","334","0.856","794","0.481","396","0.364","0.503","0.554","22.5","3.2","2.9","0.7","0.2","1.9","25.7","25.4","28.6","7.6","110.3","114.5"
"Pascal Siakam","Tor","F","30","39","34.7","25.3","11.8","223","0.758","478","0.584","145","0.317","0.559","0.6","22.2","6.3","4.8","0.8","0.3","2.1","28.5","27","33.3","10.1","118.5","115.6"
"Kyle Kuzma","Was","F","28.7","70","32.6","29.7","12.8","240","0.775","863","0.53","450","0.336","0.521","0.547","22.2","6.6","4.2","0.5","0.7","2.7","28.8","26.4","33.1","10.4","103.6","116.4"
"Karl-Anthony Towns","Min","F","28.4","62","32.7","27.4","15.7","292","0.873","623","0.551","327","0.416","0.576","0.625","21.8","8.3","3","0.7","0.7","2.9","30.1","24.8","33.1","10","115","100.6"
"RJ Barrett","Tor","F","23.8","32","33.5","25.7","13.8","167","0.629","373","0.603","120","0.392","0.599","0.614","21.8","6.4","4.1","0.6","0.4","2.5","28.1","25.8","32.2","9.9","114.2","113.9"
"Victor Wembanyama","San","F","20.3","71","29.7","32.2","18","367","0.796","792","0.534","394","0.325","0.519","0.565","21.4","10.6","3.9","1.2","3.6","3.7","32.1","25.3","35.9","12.9","104.1","107.9"
"Pascal Siakam","Ind","F","30","41","31.8","25.1","8.2","173","0.699","547","0.58","101","0.386","0.579","0.602","21.3","7.8","3.7","0.8","0.4","1.4","29","25","32.8","10.7","122.5","113.5"
"Jamal Murray","Den","G","27.1","59","31.5","27.9","11.2","184","0.853","645","0.51","341","0.425","0.554","0.586","21.2","4.1","6.5","1","0.7","2.1","25.3","27.7","31.8","10.5","119.1","112.3"
"Alperen Sengun","Hou","C","21.7","63","32.5","27","14.2","352","0.693","871","0.567","111","0.297","0.553","0.585","21.1","9.4","5","1.2","0.7","2.6","30.5","26.1","35.4","12.3","117.7","104"
"Jerami Grant","Por","F","30.1","54","33.9","25.7","12","312","0.817","574","0.474","276","0.402","0.516","0.573","21","3.5","2.8","0.8","0.6","2.1","24.5","23.8","27.3","7","113.1","116.6"
"Miles Bridges","Cha","F","26.1","69","37.4","24.7","10.2","211","0.825","760","0.529","450","0.349","0.527","0.556","21","7.3","3.3","0.9","0.5","2","28.3","24.3","31.7","8.5","108.5","117.9"
"Jimmy Butler","Mia","F","34.6","60","34","24","11.4","459","0.858","648","0.519","145","0.414","0.537","0.626","20.8","5.3","5","1.3","0.3","1.7","26.1","25.7","31.1","9.6","129.2","111.9"
"Brandon Ingram","Nor","F","26.6","64","32.9","27.2","13.8","307","0.801","775","0.534","242","0.355","0.534","0.578","20.8","5.1","5.7","0.8","0.6","2.5","25.9","26.5","31.5","10.3","114.7","109.7"
"Tyler Herro","Mia","G","24.2","42","33.5","27.8","11.2","111","0.856","402","0.478","333","0.396","0.531","0.558","20.8","5.3","4.5","0.7","0.1","2.2","26.1","25.3","30.6","9.5","108.2","110.7"
"Bojan Bogdanovic","Det","F","35","28","32.9","24.7","12.9","104","0.779","218","0.518","207","0.415","0.569","0.6","20.2","3.4","2.5","0.8","0.1","2.3","23.5","22.7","26.1","6.8","110.4","117.3"
"Kristaps Porzingis","Bos","C","28.7","57","29.6","25.1","10.6","302","0.858","459","0.606","293","0.375","0.589","0.647","20.1","7.2","2","0.7","1.9","1.6","27.3","22.1","29.3","8.9","127.5","104"
"Tyrese Haliburton","Ind","G","24.1","69","32.2","24.6","13.2","227","0.855","513","0.595","535","0.364","0.57","0.605","20.1","3.9","10.9","1.2","0.7","2.3","24.1","31","35","11.8","128.2","120"
"CJ McCollum","Nor","G","32.6","66","32.7","24.7","9.4","139","0.827","498","0.492","557","0.429","0.572","0.592","20","4.3","4.6","0.9","0.6","1.7","24.4","24.7","29","9","118.3","111.2"
"Scottie Barnes","Tor","F-G","22.7","60","34.9","24.8","14.9","251","0.781","646","0.536","296","0.341","0.528","0.566","19.9","8.2","6.1","1.3","1.5","2.8","28.1","25.9","34.2","11.4","113.6","114.9"
"Franz Wagner","Orl","F","22.6","72","32.5","25.7","11.1","319","0.85","763","0.569","333","0.282","0.525","0.575","19.7","5.3","3.7","1.1","0.4","1.9","25","23.5","28.8","9","115.7","107.2"
"Mikal Bridges","Bro","F","27.6","82","34.8","24.2","11.2","317","0.814","702","0.49","592","0.372","0.521","0.56","19.6","4.5","3.6","1","0.4","2","24.1","23.2","27.8","7.8","111.8","116.5"
"Jalen Green","Hou","G","22.2","82","31.7","27.5","12.6","352","0.804","727","0.498","605","0.332","0.498","0.541","19.6","5.2","3.5","0.8","0.3","2.3","24.8","23.2","28.3","8.9","106.6","112.9"
"Zach LaVine","Chi","G","29.1","25","34.9","23.8","12.1","103","0.854","207","0.536","169","0.349","0.531","0.578","19.5","5.1","3.9","0.8","0.3","2.1","24.6","23.4","28.5","8.4","113.3","113.4"
"Devin Vassell","San","G","23.6","68","33.1","23.5","9.3","201","0.801","609","0.545","447","0.371","0.55","0.578","19.5","3.8","4.1","1.1","0.3","1.6","23.3","23.5","27.4","8.1","113.4","117.7"
"Domantas Sabonis","Sac","C","27.9","82","35.7","22.2","20.4","415","0.704","981","0.613","87","0.379","0.609","0.637","19.4","13.7","8.2","0.9","0.6","3.3","33.1","27.6","41.3","14.5","126.3","106.4"
"Bam Adebayo","Mia","C","26.7","71","34","24.9","13.7","387","0.755","975","0.528","42","0.357","0.529","0.576","19.3","10.4","3.9","1.1","0.9","2.3","29.7","23.2","33.6","10.8","114.7","104.9"
"Coby White","Chi","G","24.2","79","36.5","22.7","12.1","260","0.838","653","0.508","556","0.376","0.534","0.57","19.1","4.5","5.1","0.7","0.2","2.1","23.6","24.2","28.8","8.3","114.7","114.7"
"Jalen Williams","Okc","F","23","71","31.3","23.7","11","221","0.814","752","0.576","241","0.427","0.592","0.621","19.1","4","4.5","1.1","0.6","1.7","23.1","23.6","27.6","9","121.7","109.1"
"Collin Sexton","Uta","G","25.3","78","26.6","27.5","13.7","370","0.859","713","0.53","325","0.394","0.549","0.607","18.7","2.6","4.9","0.8","0.2","2.1","21.3","23.6","26.2","9.3","122.1","117.9"
"Immanuel Quickley","Tor","G","24.8","38","33.3","23.4","11.1","151","0.841","288","0.448","271","0.395","0.518","0.564","18.6","4.8","6.8","0.9","0.2","1.8","23.4","25.3","30.1","10.2","117.6","116.2"
"Bradley Beal","Pho","G","30.8","53","33.3","22.7","15.1","134","0.813","500","0.552","235","0.43","0.582","0.607","18.2","4.4","5","1","0.5","2.5","22.6","23.2","27.6","8.9","116.6","111.7"
"RJ Barrett","Nyk","F","23.8","26","29.5","27.6","10.8","124","0.831","258","0.469","130","0.331","0.478","0.536","18.2","4.3","2.4","0.5","0.3","1.8","22.5","20.7","24.9","7.8","109.7","111.5"
"Nikola Vucevic","Chi","C","33.5","76","34.3","23.3","9.1","129","0.822","897","0.551","313","0.294","0.522","0.541","18","10.5","3.3","0.7","0.8","1.6","28.6","21.4","31.9","10","113.5","110.2"
"D'Angelo Russell","Lal","G","28.1","76","32.7","22.9","12.6","192","0.828","535","0.497","545","0.415","0.56","0.588","18","3.1","6.3","0.9","0.5","2.1","21.1","24.3","27.4","8.6","116.2","113.2"
"Darius Garland","Cle","G","24.2","57","33.3","25.4","17.3","175","0.834","485","0.501","356","0.371","0.524","0.56","18","2.7","6.5","1.3","0.1","3.1","20.7","24.6","27.2","8.2","108.7","112.8"
"Klay Thompson","Gol","F","34.2","77","29.7","24.2","9.4","137","0.927","442","0.502","691","0.388","0.551","0.576","17.9","3.3","2.3","0.6","0.5","1.5","21.2","20.1","23.4","6.9","112.5","114.9"
"Fred VanVleet","Hou","G","30.1","73","36.8","19.7","11","229","0.86","432","0.454","586","0.387","0.527","0.568","17.4","3.8","8.1","1.4","0.8","1.7","21.2","25.5","29.3","8.8","123.2","111.1"
"Jordan Poole","Was","G","24.8","78","30.1","26.4","13.7","219","0.877","622","0.492","564","0.326","0.491","0.529","17.4","2.7","4.4","1.1","0.3","2.4","20.1","21.8","24.5","7.9","101.9","114.4"
"Brandon Miller","Cha","F","21.4","74","32.2","23.9","10.9","173","0.827","590","0.495","493","0.373","0.524","0.552","17.3","4.3","2.4","0.9","0.6","1.8","21.5","19.6","23.9","7","105.6","116"
"Tobias Harris","Phi","F","31.7","70","33.8","20.7","8.9","213","0.878","693","0.537","258","0.353","0.535","0.576","17.2","6.5","3.1","1","0.7","1.3","23.7","20.3","26.8","8.3","118","112.4"
"Jordan Clarkson","Uta","G","31.9","55","30.6","26.1","15.2","201","0.881","507","0.485","309","0.294","0.469","0.521","17.1","3.4","5","0.6","0.1","2.7","20.5","22.2","25.6","8.7","106.5","120.8"
"Myles Turner","Ind","C","28.1","77","27","23.4","10.7","317","0.773","585","0.615","324","0.358","0.587","0.626","17.1","6.9","1.3","0.5","1.9","1.4","24","18.4","25.3","7.9","119.7","109.7"
"Bogdan Bogdanovic","Atl","G","31.7","79","30.4","22.3","9.2","164","0.921","459","0.503","641","0.374","0.537","0.569","16.9","3.4","3.1","1.2","0.3","1.4","20.3","20","23.4","7.4","115.6","115.4"
"Michael Porter Jr.","Den","F","25.8","81","31.7","20.7","7.9","110","0.836","525","0.575","554","0.397","0.586","0.601","16.7","7","1.5","0.5","0.7","1.1","23.7","18.2","25.2","7.1","117","110.7"
"Deandre Ayton","Por","C","25.7","55","32.4","21.1","11.7","79","0.823","739","0.576","10","0.1","0.571","0.587","16.7","11.1","1.6","1","0.8","1.8","27.8","18.4","29.4","8.2","113.9","111.7"
"Dalano Banton","Por","F","24.4","30","29.2","27.2","13","100","0.78","266","0.474","183","0.311","0.471","0.508","16.7","4.8","3.6","0.9","0.6","2.2","21.5","20.3","25.1","9.1","103.2","116.3"
"James Harden","Lac","G","34.6","72","34.3","20.6","18.4","344","0.878","334","0.497","488","0.381","0.541","0.612","16.6","5.1","8.5","1.1","0.8","2.6","21.7","25.1","30.2","10.5","125.2","113.6"
"Jarrett Allen","Cle","C","26","77","31.7","19.4","12.9","314","0.742","813","0.638","6","0","0.634","0.664","16.5","10.5","2.7","0.7","1.1","1.6","27","19.2","29.8","9.8","130.9","107.7"
"Chet Holmgren","Okc","C","22","82","29.4","21.7","12.1","275","0.793","604","0.623","349","0.37","0.598","0.632","16.5","7.9","2.4","0.6","2.3","1.6","24.5","19","26.9","9.2","122","105.9"
"Terry Rozier","Mia","G","30.1","31","31.5","23.8","8.4","69","0.913","271","0.458","178","0.371","0.497","0.531","16.4","4.2","4.6","1","0.3","1.3","20.6","21.1","25.3","8.7","111.4","110.2"
"Jonathan Kuminga","Gol","F","21.5","74","26.3","24.1","12.4","299","0.746","697","0.578","165","0.321","0.56","0.598","16.1","4.8","2.2","0.7","0.5","1.6","20.9","18.3","23.1","8.4","116.3","109.8"
"Jalen Johnson","Atl","F","22.3","56","33.7","19.1","12.6","147","0.728","502","0.574","200","0.355","0.562","0.584","16","8.7","3.6","1.2","0.8","1.8","24.7","19.6","28.3","9.4","116.1","112.6"
"Austin Reaves","Lal","G","25.9","82","32.1","20.3","15.7","272","0.853","520","0.583","420","0.367","0.568","0.613","15.9","4.3","5.5","0.8","0.3","2.1","20.1","21.3","25.6","9","118.8","113.1"
"Shaedon Sharpe","Por","G","20.9","32","33.1","22.4","14.2","119","0.824","254","0.457","180","0.333","0.475","0.524","15.9","5","2.9","0.9","0.4","2.3","20.9","18.9","23.9","7.4","104.7","113.5"
"Malcolm Brogdon","Por","G","31.3","39","28.7","23","10.8","116","0.819","297","0.458","199","0.412","0.522","0.56","15.7","3.8","5.5","0.7","0.2","1.5","19.5","21.2","25","9.6","119.7","117.4"
"Keldon Johnson","San","F","24.5","69","29.5","21.9","10.4","221","0.792","495","0.533","367","0.346","0.527","0.565","15.7","5.5","2.8","0.7","0.3","1.4","21.2","18.5","24","8.4","112.4","113"
"Evan Mobley","Cle","C","22.8","50","30.6","20.6","14","171","0.719","493","0.604","59","0.373","0.6","0.626","15.7","9.4","3.2","0.9","1.4","1.8","25.1","18.9","28.3","10.2","121.6","104.1"
"De'Andre Hunter","Atl","F","26.4","57","29.5","20.6","11.1","196","0.847","359","0.521","304","0.385","0.547","0.595","15.6","3.9","1.5","0.7","0.3","1.5","19.5","17.2","21.1","6.1","114.8","114.5"
"Donte DiVincenzo","Nyk","G","27.2","81","29.1","21.3","10.1","114","0.754","299","0.542","705","0.401","0.584","0.597","15.5","3.7","2.7","1.3","0.4","1.4","19.2","18.2","21.9","7.4","119.5","109"
"Kelly Oubre Jr.","Phi","F-G","28.3","68","30.2","22.4","9","232","0.75","553","0.517","325","0.311","0.498","0.535","15.4","5","1.5","1.1","0.7","1.3","20.4","16.9","21.9","6.5","108.5","108"
"Malik Monk","Sac","G","26.2","72","26","25.9","14.4","205","0.829","470","0.528","423","0.35","0.526","0.564","15.4","2.9","5.1","0.6","0.5","2.1","18.4","20.6","23.5","9.4","113.1","111.4"
"Jaden Ivey","Det","G","22.2","77","28.8","24.9","16.3","303","0.749","604","0.485","369","0.336","0.492","0.536","15.4","3.4","3.8","0.7","0.5","2.5","18.8","19.2","22.7","8.1","104.4","114.1"
"Simone Fontecchio","Det","F","28.3","16","30.3","19.2","8.2","26","0.846","89","0.539","101","0.426","0.592","0.613","15.4","4.4","1.8","0.9","0.3","1.1","19.8","17.2","21.6","6.5","118.1","116.5"
"Derrick White","Bos","G","29.8","73","32.6","18.6","11.8","152","0.901","344","0.555","495","0.396","0.578","0.611","15.2","4.2","5.2","1","1.2","1.5","19.4","20.3","24.6","8.5","126.3","109.2"
"Keegan Murray","Sac","F","23.7","77","33.6","18.1","6.2","124","0.831","464","0.56","511","0.358","0.548","0.569","15.2","5.5","1.7","1","0.8","0.8","20.7","16.9","22.4","6.2","116.4","110.9"
"Khris Middleton","Mil","F","32.7","55","27","23.9","16.5","120","0.833","396","0.563","247","0.381","0.566","0.595","15.1","4.7","5.3","0.9","0.3","2.3","19.7","20.4","25","10.7","115.4","108.3"
"John Collins","Uta","F","26.6","68","28","20.4","11.6","185","0.795","514","0.605","232","0.371","0.59","0.621","15.1","8.5","1.1","0.6","0.9","1.4","23.6","16.2","24.7","7.4","119.8","111.1"
"OG Anunoby","Tor","F","26.7","27","33.3","18.2","11.8","46","0.717","158","0.608","163","0.374","0.584","0.598","15.1","4","2.7","1","0.5","1.6","19.1","17.8","21.7","6.6","112.6","116.2"
"Immanuel Quickley","Nyk","G","24.8","30","24","24.4","8.5","94","0.872","173","0.509","162","0.395","0.549","0.598","15","2.6","2.5","0.5","0.1","1","17.6","17.5","20","7.7","123.4","111.5"
"Trey Murphy III","Nor","F","23.8","57","29.7","18.6","5.2","151","0.815","176","0.602","445","0.38","0.579","0.612","14.8","4.9","2.2","0.9","0.5","0.6","19.7","16.9","21.9","7.3","126.5","112.2"
"Deni Avdija","Was","F","23.3","75","30.1","20.2","16.6","272","0.739","568","0.56","235","0.374","0.56","0.597","14.7","7.2","3.8","0.8","0.5","2.1","21.9","18.5","25.7","9.8","112.5","113.5"
"GG Jackson","Mem","F","19.3","48","25.7","24.2","10.3","153","0.752","277","0.502","286","0.357","0.519","0.554","14.6","4.1","1.2","0.6","0.5","1.4","18.6","15.8","19.9","6.5","107.2","114.4"
"Dennis Schroder","Bro","G","30.6","29","32","21.8","16","64","0.797","220","0.432","148","0.412","0.507","0.535","14.6","3.5","6","0.6","0.3","2.4","18.1","20.7","24.2","8.4","108.8","115"
"Gordon Hayward","Cha","F","34.1","25","31.9","21.3","14.6","81","0.765","236","0.496","61","0.361","0.505","0.544","14.5","4.7","4.6","1.1","0.5","2","19.2","19.1","23.8","8.5","109","117.5"
"Marcus Smart","Mem","G","30.1","20","30.2","23","20.7","56","0.768","103","0.583","134","0.313","0.519","0.552","14.5","2.7","4.3","2.1","0.3","3.1","17.1","18.8","21.4","7.3","100.1","108.8"
"Bennedict Mathurin","Ind","F","21.8","59","26.1","23.4","12.8","224","0.821","449","0.481","214","0.374","0.507","0.562","14.5","4","2","0.6","0.2","1.6","18.5","16.5","20.5","7.5","109.6","116"
"Tim Hardaway Jr.","Dal","G-F","32.1","79","26.8","22.6","6.6","169","0.852","379","0.478","597","0.353","0.51","0.542","14.4","3.2","1.8","0.5","0.1","0.9","17.6","16.2","19.4","6.5","109.4","115"
"OG Anunoby","Nyk","F","26.7","23","34.9","16.8","12.9","43","0.791","152","0.553","104","0.394","0.568","0.591","14.1","4.4","1.5","1.7","1","1.7","18.6","15.7","20.1","5.2","112.6","108.6"
"Rudy Gobert","Min","C","31.8","76","34.1","15.4","16.1","390","0.638","611","0.664","3","0","0.661","0.675","14","12.9","1.3","0.7","2.1","1.6","26.9","15.3","28.2","7.2","130.4","99.7"
"Caris LeVert","Cle","G","29.6","68","28.8","23.1","12.5","201","0.766","488","0.486","332","0.325","0.487","0.524","14","4.1","5.1","1.1","0.5","1.7","18.1","19.1","23.2","9.2","110","109.7"
"Scoot Henderson","Por","G","20.2","62","28.5","26.5","21","204","0.819","529","0.416","268","0.325","0.44","0.489","14","3.1","5.4","0.8","0.2","3.4","17.1","19.4","22.5","8.7","96.9","111.3"
"Aaron Gordon","Den","F","28.6","73","31.5","17.8","12.8","269","0.658","578","0.619","138","0.29","0.584","0.607","13.9","6.4","3.5","0.8","0.6","1.4","20.3","17.4","23.9","8.6","124.2","111.3"
"Norman Powell","Lac","G","30.9","76","26.2","20","7.9","172","0.831","384","0.536","384","0.435","0.594","0.626","13.9","2.6","1.1","0.6","0.3","0.9","16.5","15","17.5","5.2","120.3","113.6"
"Grant Williams","Cha","F","25.4","29","30.6","19","16.3","85","0.765","162","0.605","126","0.373","0.585","0.618","13.9","5.1","3.2","0.7","0.4","1.9","19","17.1","22.2","8","116.2","113.2"
"Bobby Portis","Mil","F","29.2","82","24.5","22.8","9","124","0.79","672","0.545","246","0.407","0.562","0.581","13.8","7.4","1.3","0.8","0.4","1.1","21.2","15","22.5","8.3","114.6","106.1"
"Jalen Duren","Det","C","20.4","61","29.1","18.5","18.6","181","0.79","560","0.623","4","0","0.619","0.653","13.8","11.6","2.4","0.5","0.8","2.1","25.4","16.2","27.8","10","121.1","107.3"
"Kenneth Lofton Jr.","Uta","F","21.7","4","22.7","21.1","14.5","11","0.818","23","0.739","12","0.333","0.657","0.69","13.8","5","4.8","0.8","0.5","1.5","18.8","18.5","23.5","12.2","138.7","113.6"
"Dennis Schroder","Tor","G","30.6","51","30.6","19.4","12.9","149","0.852","339","0.501","220","0.35","0.511","0.559","13.7","2.7","6.1","0.9","0.2","1.6","16.4","19.8","22.6","8","117.4","116.9"
"Gary Trent Jr.","Tor","G-F","25.2","71","28.1","20","5.3","96","0.771","394","0.464","453","0.393","0.531","0.548","13.7","2.6","1.7","1.1","0.1","0.7","16.4","15.4","18","5.6","110.1","118.3"
"Saddiq Bey","Atl","F","25","63","32.7","17","7.2","203","0.837","339","0.522","358","0.316","0.497","0.549","13.7","6.5","1.5","0.8","0.2","0.9","20.2","15.2","21.7","6.3","119.3","119.1"
"Jabari Smith Jr.","Hou","F","20.9","76","31.9","17.6","9.6","185","0.811","453","0.53","380","0.363","0.537","0.571","13.7","8.1","1.6","0.7","0.8","1.2","21.8","15.3","23.4","7","115.8","107.3"
"P.J. Washington","Cha","F","25.6","44","29.2","21.2","11.5","94","0.713","265","0.558","244","0.324","0.524","0.545","13.6","5.3","2.2","0.9","0.7","1.5","18.9","15.8","21.1","7.4","106.2","113.7"
"Rui Hachimura","Lal","F","26.2","68","26.8","18.4","6.4","134","0.739","443","0.598","232","0.422","0.61","0.629","13.6","4.3","1.2","0.6","0.4","0.7","17.9","14.8","19.1","6.2","121.6","113.1"
"Grayson Allen","Pho","G","28.5","75","33.5","14.5","12.2","147","0.878","237","0.57","445","0.461","0.649","0.679","13.5","3.9","3","0.9","0.6","1.3","17.4","16.5","20.5","6.5","129.7","113"
"Naz Reid","Min","C-F","24.6","81","24.2","23.1","11.5","150","0.74","443","0.535","408","0.414","0.576","0.595","13.5","5.2","1.3","0.8","0.9","1.4","18.7","14.8","20","7.4","110.9","102.2"
